DateTime,Calsada,Bato,Buhi,Ombao,Camaligan,Balongay,Sipocot
2024-10-27 19,1.92,NaN,1.13,6.13,1.86,NaN,0.63 
2024-10-27 20,1.90,NaN,1.12,6.12,1.84,NaN,0.58 
2024-10-27 21,1.89,NaN,1.11,6.10,1.82,NaN,0.53 
2024-10-27 22,1.87,NaN,1.10,6.09,1.80,NaN,0.49 
2024-10-27 23,1.86,NaN,1.09,6.07,1.78,NaN,0.46 
2024-10-28 00,1.85,NaN,1.09,6.06,1.75,NaN,0.43 
2024-10-28 01,NaN,NaN,NaN,NaN,NaN,NaN,NaN 
2024-10-28 02,NaN,NaN,NaN,NaN,NaN,NaN,NaN 
2024-10-28 03,NaN,NaN,NaN,NaN,NaN,NaN,NaN 
2024-10-28 04,1.81,NaN,1.06,6.00,1.73,NaN,0.36 
2024-10-28 05,1.81,NaN,1.05,5.98,1.73,NaN,0.35 
2024-10-28 06,1.79,NaN,1.04,5.97,1.72,NaN,0.34 
2024-10-28 07,1.78,NaN,1.03,5.95,1.70,NaN,0.33 
2024-10-28 08,1.78,NaN,1.03,5.94,1.68,NaN,0.32 
2024-10-28 09,1.77,NaN,1.02,5.92,1.65,NaN,0.32 
2024-10-28 10,1.76,NaN,1.02,5.91,1.62,NaN,0.31 
2024-10-28 11,1.75,NaN,1.01,5.89,1.60,NaN,0.30 
2024-10-28 12,1.74,NaN,1.01,5.87,1.57,NaN,0.29 
2024-10-28 13,1.73,NaN,1.00,5.86,1.55,NaN,0.29 
2024-10-28 14,1.72,NaN,0.99,5.84,1.55,NaN,0.28 
2024-10-28 15,1.72,NaN,0.99,5.82,1.56,NaN,0.28 
2024-10-28 16,1.71,NaN,0.98,5.81,1.58,NaN,0.27 
2024-10-28 17,1.70,NaN,0.97,5.79,1.59,NaN,0.26 
2024-10-28 18,1.70,NaN,0.96,5.78,1.59,NaN,0.26 
2024-10-28 19,1.69,NaN,0.96,5.76,1.58,NaN,0.25 
2024-10-28 20,1.69,NaN,0.95,5.75,1.55,NaN,0.25 
2024-10-28 21,1.68,NaN,0.95,5.73,1.52,NaN,0.24 
2024-10-28 22,1.67,NaN,0.95,5.72,1.48,NaN,0.23 
2024-10-28 23,1.67,NaN,0.94,5.70,1.44,NaN,0.22 
2024-10-29 00,1.67,NaN,0.94,5.68,1.41,NaN,0.22 
2024-10-29 01,1.67,NaN,0.93,5.66,1.38,NaN,0.21 
2024-10-29 02,1.66,NaN,0.93,5.65,1.37,NaN,0.21 
2024-10-29 03,1.66,NaN,0.93,5.63,1.39,NaN,0.20 
2024-10-29 04,1.66,NaN,0.92,5.62,1.43,NaN,0.19 
2024-10-29 05,1.65,NaN,0.91,5.60,1.45,NaN,0.19 
2024-10-29 06,1.65,NaN,0.91,5.58,1.46,NaN,0.19 
2024-10-29 07,1.63,NaN,0.91,5.57,1.45,NaN,0.19 
2024-10-29 08,1.64,NaN,0.90,5.55,1.41,NaN,0.19 
